170	9	1
168	5	3
190	14	5
87	11	1
44	11	7
135	6	6
116	10	3
49	8	7
156	0	2
141	10	3
63	14	3
196	10	10
191	0	4
12	6	1
8	2	4
81	3	5
179	10	5
116	3	3
139	8	10
125	7	7
184	1	4
175	4	3
22	11	9
104	7	5
193	11	7
33	4	1
142	2	1
91	2	1
159	6	1
52	2	1
190	0	1
39	7	1
101	14	1
177	14	2
154	3	6
95	2	3
55	1	10
34	5	1
57	10	1
31	4	6
157	14	2
173	11	10
33	6	4
183	14	6
15	8	1
175	14	9
165	12	5
35	14	3
159	11	7
184	7	9
41	6	6
195	9	6
47	9	1
2	3	9
152	12	7
55	6	10
100	10	10
141	5	3
144	10	5
61	10	3
72	7	10
87	12	6
145	5	10
2	11	5
186	0	10
3	14	4
57	6	8
27	8	5
111	0	3
26	2	4
187	13	6
37	0	3
159	0	4
48	5	1
5	1	4
14	0	3
8	9	5
162	11	4
40	5	1
43	9	8
123	5	1
102	9	9
97	1	9
89	14	9
65	10	8
139	6	9
89	2	7
167	5	2
116	12	6
185	10	6
185	8	9
149	4	8
169	6	10
45	0	7
140	11	5
2	9	10
73	1	5
77	14	3
11	3	9
85	3	4
168	2	5
40	12	5
131	8	8
72	8	8
150	5	8
194	1	8
15	7	10
32	0	2
13	9	2
44	0	5
63	11	4
72	3	5
15	13	10
193	5	5
11	2	3
162	10	5
184	12	1
40	14	8
36	7	8
131	7	10
179	1	2
97	0	5
23	9	9
152	9	5
31	0	7
191	8	6
9	3	8
18	0	1
196	14	6
162	4	10
141	1	6
37	13	9
75	7	6
57	1	9
41	3	10
175	11	4
117	7	4
68	5	10
159	10	1
50	4	5
147	2	10
54	5	8
25	12	10
60	8	1
135	3	9
124	14	2
65	5	10
71	1	5
108	4	4
122	3	4
29	6	4
180	6	6
159	1	2
130	10	5
110	3	9
124	12	8
139	7	3
76	13	6
39	11	6
10	8	8
84	7	3
74	12	3
181	14	3
93	2	9
90	2	2
72	11	8
20	5	3
65	7	7
52	8	1
122	4	10
61	6	10
153	12	9
100	11	4
63	2	3
179	4	1
8	0	7
98	8	3
109	4	3
41	0	5
171	6	4
66	10	7
92	9	8
59	2	2
51	11	1
144	12	10
122	7	7
89	7	1
84	3	10
1	12	5
68	13	5
22	0	2
83	9	4
1	11	4
149	10	8
189	3	3
86	1	7
15	10	5
126	9	6
55	11	7
17	11	5
192	10	10
197	12	3
88	8	8
135	1	5
29	7	10
94	12	3
28	12	7
165	5	8
35	3	3
125	3	8
55	13	8
170	10	3
98	2	7
39	12	8
101	4	4
114	3	4
136	3	10
143	11	4
12	9	6
199	2	1
70	4	7
110	5	5
101	13	3
155	7	1
51	8	2
112	4	6
184	0	1
19	4	7
106	12	6
192	11	10
182	1	2
193	9	9
12	7	5
120	8	2
98	0	3
172	7	9
179	7	9
111	6	3
94	13	6
156	7	9
22	6	6
112	1	6
155	12	7
196	6	9
181	7	3
191	14	7
172	6	10
69	14	8
119	12	9
137	6	1
145	11	9
197	6	9
19	0	5
119	9	6
16	4	7
34	12	1
151	2	5
130	8	9
95	4	5
136	9	5
137	10	1
40	13	7
62	3	1
27	1	4
152	4	10
148	7	1
7	12	6
159	3	1
136	8	5
183	0	9
41	1	7
170	2	6
17	10	10
63	8	4
86	12	10
187	2	1
111	1	8
29	8	5
153	4	9
10	5	9
97	10	5
50	2	10
25	3	5
166	5	8
87	6	5
172	5	7
96	4	3
53	4	9
175	6	2
34	1	2
173	2	3
121	12	10
83	10	9
187	5	2
162	9	7
113	4	3
40	8	5
69	0	10
171	1	4
173	7	4
108	11	1
174	6	6
150	3	8
55	9	9
98	3	6
149	11	9
146	12	2
82	2	3
112	2	1
19	9	2
135	4	2
156	4	8
150	13	4
61	0	2
7	6	6
12	1	10
60	6	2
42	14	9
57	9	7
90	0	1
197	0	6
32	5	10
169	10	2
1	14	10
118	14	2
115	8	7
93	10	9
21	2	1
7	0	6
9	1	10
22	3	10
70	11	7
180	4	5
88	7	3
160	6	3
171	7	6
52	1	4
181	12	2
201	11	4
191	6	3
47	5	2
117	4	8
65	0	10
168	11	9
24	6	1
130	1	9
118	8	6
79	3	10
99	8	7
4	12	7
59	12	8
93	12	4
11	0	9
174	13	1
166	11	1
144	3	5
61	5	6
103	14	7
84	14	6
76	7	3
141	7	6
72	0	10
195	13	2
60	7	7
128	11	9
195	1	3
26	4	1
3	0	4
119	6	3
130	0	10
105	13	1
1	2	10
33	5	3
21	11	3
94	7	6
98	5	10
144	5	3
107	12	1
27	7	2
65	3	3
39	9	4
81	8	2
18	4	8
81	7	4
173	12	4
197	4	5
117	5	1
2	4	6
88	10	9
14	1	9
89	6	4
50	9	5
91	3	2
170	5	1
36	13	8
75	1	8
110	9	6
86	4	10
20	8	1
131	9	10
186	3	2
133	3	6
46	6	10
14	9	3
66	12	1
142	11	9
155	11	10
96	3	4
56	8	3
3	8	10
189	9	3
184	6	6
120	0	10
56	5	3
30	3	2
124	13	4
12	14	9
132	11	3
172	3	4
85	6	4
100	4	4
129	7	2
60	1	8
148	6	10
167	13	2
56	9	1
88	0	10
26	14	4
151	13	6
5	9	4
23	3	6
137	0	3
16	6	6
10	3	10
72	5	6
164	7	3
68	1	7
42	12	1
150	14	4
152	2	8
143	10	4
19	3	7
194	13	3
69	2	2
201	9	2
100	5	10
44	10	8
87	5	10
121	10	6
37	11	8
5	3	1
143	14	10
49	10	8
187	12	9
26	3	1
12	8	10
38	5	3
138	0	6
18	14	9
192	7	1
44	8	4
111	8	9
140	3	4
103	0	6
100	9	6
6	5	2
65	12	9
49	14	8
38	0	9
104	1	4
26	6	4
64	5	8
182	12	2
4	8	10
164	6	2
196	7	2
185	1	9
194	4	10
148	3	8
156	14	8
60	2	3
119	0	9
153	7	9
93	7	2
17	8	6
30	1	6
98	9	2
12	11	6
139	3	6
17	7	1
3	2	5
82	5	1
201	14	9
163	8	2
66	7	1
43	14	9
77	6	4
41	9	4
106	9	7
12	2	8
163	13	7
91	12	5
155	3	6
121	11	6
85	5	3
38	12	8
